Cluster,Count,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
0,7863,Alat Kantor/Sekolah (38.9%),Toko buku independen lainnya (26.5%),Untuk mengekspresikan kreativitas (26.1%),Aktivitas Rekreasional (47.1%),edukasi (49.6%),Setuju (36.0%),Sangat Tidak Setuju (37.7%),Netral (35.2%),Setuju (38.3%)
1,5194,Alat Seni (28.4%),Toko Gramedia (28.4%),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya) (28.1%)",Seni (42.4%),Self Wear (55.3%),Sangat Setuju (38.4%),Netral (42.1%),Sangat Setuju (37.4%),Netral (41.6%)
2,4179,Sport & mainanan (29.4%),Aplikasi Gramedia Digital (ebook) (28.0%),Hiburan atau relaksasi (30.4%),Aktivitas Rekreasional (45.6%),Self Wear (53.5%),Sangat Tidak Setuju (43.3%),Tidak Setuju (42.6%),Sangat Tidak Setuju (42.0%),Sangat Setuju (44.3%)
3,3054,Alat Seni (28.7%),Toko alat tulis lainnya (34.7%),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor) (32.3%)",Literasi (52.4%),edukasi (59.3%),Netral (44.3%),Setuju (43.4%),Setuju (44.1%),Sangat Setuju (37.3%)
4,2674,Sport & mainanan (33.5%),Aplikasi Gramedia.com (30.9%),Menambah pengetahuan (33.3%),Lifestyle (54.4%),edukasi (53.4%),Tidak Setuju (45.5%),Sangat Setuju (45.7%),Sangat Setuju (35.5%),Tidak Setuju (47.8%)
