cluster,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
0,Edukasi;Sport & mainanan,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi;Seni,edukasi,Tidak Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
1,Alat Kantor/Sekolah;Sport & mainanan,Toko buku independen lainnya,"Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle;Seni,Self Wear;edukasi,Sangat Setuju,Netral,Setuju,Setuju
2,Alat Seni;Buku Anak,Toko alat tulis lainnya,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional;Literasi,Self Wear;edukasi,Setuju,Setuju,Sangat Setuju,Tidak Setuju
3,Alat Kantor/Sekolah;Buku Non-Fiksi,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Seni,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju
4,Alat Kantor/Sekolah;Komik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Lifestyle,Alat Seni;Self Wear,Netral,Sangat Setuju,Tidak Setuju,Netral
5,Buku Non-Fiksi;Novel Fiksi,Aplikasi Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah,Aktivitas Rekreasional;Literasi,Daily needs;edukasi,Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju
